concept_name,concept_title,category,unit,min_value,max_value,description,omop_id,source,table_name,sub_var,val_var,unit_var,index_var,method,match_value,class,dict,typ,ref,clean,conversion,ricu,blended
plt,Platelet Count,hematology,K/uL,5,1200,platelet count,4267147,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51265,itm_itm,d_labitems,ts,ricu,0,none,,
po2,O2 Partial Pressure,blood gas,mmHg,40,600,O2 partial pressure,4094581,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50821,itm_itm,d_labitems,ts,ricu,0,none,,
sbp,Systolic Blood Pressure,vitals,mmHg,0,300,systolic blood pressure,4152194,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,51|455|6701|220050|220179,itm_itm,d_items,ts,ricu,0,none,,
po2,O2 Partial Pressure,blood gas,mmHg,40,600,O2 partial pressure,4094581,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50821,itm_itm,d_labitems,ts,ricu,0,none,,
pt,Prothrombine Time,hematology,sec,0,NA,prothrombine time,4245261,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51274,itm_itm,d_labitems,ts,ricu,0,none,,
spo2,Oxygen Saturation,respiratory,%,50,100,oxygen saturation,4196147,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,646|220277|226253,itm_itm,d_items,ts,ricu,0,none,,
pt,Prothrombine Time,hematology,sec,0,NA,prothrombine time,4245261,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51274,itm_itm,d_labitems,ts,ricu,0,none,,
ptt,Partial Thromboplastin Time,hematology,sec,0,NA,partial thromboplastin time,4175016,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51275,itm_itm,d_labitems,ts,ricu,0,none,,
ptt,Partial Thromboplastin Time,hematology,sec,0,NA,partial thromboplastin time,4175016,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51275,itm_itm,d_labitems,ts,ricu,0,none,,
rbc,Red Blood Cell Count,hematology,m/uL,0,20,red blood cell count,4030871,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51279,itm_itm,d_labitems,ts,ricu,0,none,,
rbc,Red Blood Cell Count,hematology,m/uL,0,20,red blood cell count,4030871,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51279,itm_itm,d_labitems,ts,ricu,0,none,,
rdw,Erythrocyte Distribution Width,hematology,%,0,100,erythrocyte distribution width,4281085,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51277,itm_itm,d_labitems,ts,ricu,0,none,,
rdw,Erythrocyte Distribution Width,hematology,%,0,100,erythrocyte distribution width,4281085,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51277,itm_itm,d_labitems,ts,ricu,0,none,,
sao2,Arterial Oxygen Saturation,respiratory,%,50,100,arterial oxygen saturation,40483579,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50817,itm_itm,d_labitems,ts,ricu,0,none,,
spo2,Oxygen Saturation,respiratory,%,50,100,oxygen saturation,4196147,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,646|220277|226253,itm_itm,d_items,ts,ricu,0,f_to_c,,
sao2,Arterial Oxygen Saturation,respiratory,%,50,100,arterial oxygen saturation,40483579,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50817,itm_itm,d_labitems,ts,ricu,0,none,,
tco2,Totcal CO2,blood gas,mEq/L,5,60,totcal CO2,4193415,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50804,itm_itm,d_labitems,ts,ricu,0,none,,
temp,Temperature,vitals,C,32,42,temperature,4302666,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,676|677|223762,itm_itm,d_items,ts,ricu,0,none,,
temp,Temperature,vitals,C,32,42,temperature,4302666,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,678|679|223761|224027,itm_itm,d_items,ts,ricu,0,f_to_c,,
tco2,Totcal CO2,blood gas,mEq/L,5,60,totcal CO2,4193415,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50804,itm_itm,d_labitems,ts,ricu,0,none,,
temp,Temperature,vitals,C,32,42,temperature,4302666,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,676|677|223762,itm_itm,d_items,ts,ricu,0,none,,
temp,Temperature,vitals,C,32,42,temperature,4302666,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,678|679|223761|224027,itm_itm,d_items,ts,ricu,0,none,,
tnt,Troponin t,chemistry,ng/mL,0,NA,troponin t,4005525,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51003,itm_itm,d_labitems,ts,ricu,0,none,,
tgcs,GCS Total,neurological,NA,3,15,GCS total,4093836,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,198,itm_itm,d_items,ts,ricu,0,none,,
tgcs,GCS Total,neurological,NA,3,15,GCS total,4093836,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,198,itm_itm,d_items,ts,ricu,0,none,,
vgcs,GCS Verbal,neurological,NA,1,5,GCS verbal,4084912,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,723|223900,itm_itm,d_items,ts,ricu,0,none,,
tnt,Troponin t,chemistry,ng/mL,0,NA,troponin t,4005525,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51003,itm_itm,d_labitems,ts,ricu,0,none,,
tri,Troponin I,chemistry,ng/mL,0,NA,troponin I,4007805,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51002,itm_itm,d_labitems,ts,ricu,0,none,,
urine,Urine Output,output,mL,0,2000,urine output,4264378,miii_demo_coh,outputevents,itemid,value,valueuom,charttime,itemid,40055|40056|40057|40065|40069|40085|40086|40094|40096|40405|40428|40473|40715|43175|226557|226558|226559|226560|226561|226563|226564|226565|226566|226567|226584|227510,itm_itm,d_items,ts,ricu,0,none,,
vgcs,GCS Verbal,neurological,NA,1,5,GCS verbal,4084912,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,723|223900,itm_itm,d_items,ts,ricu,0,none,,
